aws-us-east-1,gcp-us-west-1,gcp-eu-west-1,aws-sa-east-1,gcp-asia-east-1
0.0,0.062,0.083,0.119,0.177
0.063,0.0,0.182,0.174,0.118
0.082,0.177,0.0,0.209,0.272
0.12,0.174,0.21,0.0,0.288
0.177,0.118,0.273,0.288,0.0
