aws-northamerica-central-1,gcp-sa-east-1,aws-us-west-2,aws-sa-east-1,aws-us-east-1
0,142,64,124,14
142,0,186,3,128
64,186,0,183,77
123,3,183,0,120
14,128,77,119,0
