Service / Cluster,aws-ap-northeast-1,aws-ap-northeast-2,aws-ap-south-1,aws-ap-southeast-1,aws-ap-southeast-2,aws-eu-west-1,aws-eu-west-2,aws-eu-west-3,aws-northamerica-central-1,aws-us-east-1,aws-us-east-2,aws-us-west-1,aws-us-west-2,aws-sa-east-1
storage,175.0 K,,,,,,,140.0 K,,170.0 K,,,,35.0 K
image_server,30.0 K,30.0 K,30.0 K,30.0 K,30.0 K,30.0 K,30.0 K,30.0 K,30.0 K,30.0 K,30.0 K,30.0 K,30.0 K,30.0 K
