Service / Cluster,aws-ap-northeast-1,aws-ap-southeast-1,gcp-eu-west-1,gcp-eu-west-2,gcp-asia-east-1
rating,,75.0 K,75.0 K,,75.0 K
review,75.0 K,,75.0 K,75.0 K,
details,75.0 K,,75.0 K,,75.0 K
product_page,30.0 K,30.0 K,30.0 K,30.0 K,30.0 K
