aws-us-east-1,gcp-us-west-1,gcp-eu-west-1,aws-sa-east-1,gcp-asia-east-1
0.01,0.11,0.11,0.138,0.11
0.09,0.0,0.08,0.15,0.08
0.09,0.08,0.0,0.15,0.08
0.02,0.11,0.11,0.01,0.11
0.09,0.08,0.08,0.15,0.0
