gcp-asia-northeast-1,gcp-asia-southeast-1,gcp-eu-west-1,gcp-eu-west-2,gcp-asia-east-1
0.0,0.08,0.08,0.08,0.08
0.08,0.0,0.08,0.08,0.08
0.08,0.08,0.0,0.08,0.08
0.08,0.08,0.08,0.0,0.08
0.08,0.08,0.08,0.08,0.0
