,job_type,cloud_provider,cluster_name,lat,lon,source_zone_id,target_zone_id,load_balance,cost_mix,source_job_type,weights_update_interval,gb_price,latency
0,0,aws,aws-ap-northeast-1,35.6804,139.769,CLIENT,aws-ap-northeast-1-1,KOSS,beta=0.01,CLIENT,10,0.08452997825411619,0.0
0,0,aws,aws-ap-northeast-1,35.6804,139.769,CLIENT,aws-ap-northeast-1-1,KOSS,beta=0.01,CLIENT,60,0.0845299782541162,0.0
0,0,aws,aws-ap-northeast-1,35.6804,139.769,CLIENT,aws-ap-northeast-1-1,KOSS,beta=0.01,CLIENT,300,0.0845299782541162,0.0
0,0,aws,aws-ap-northeast-1,35.6804,139.769,CLIENT,aws-ap-northeast-1-1,KOSS,beta=0.01,CLIENT,600,0.0845299782541162,0.0
0,0,aws,aws-ap-northeast-1,35.6804,139.769,CLIENT,aws-ap-northeast-1-1,KOSS,beta=0.01,CLIENT,1000,0.08452997825411619,0.0
0,0,aws,aws-ap-northeast-1,35.6804,139.769,CLIENT,aws-ap-northeast-1-1,KOSS,beta=0.99,CLIENT,10,0.08026716371543957,0.0
0,0,aws,aws-ap-northeast-1,35.6804,139.769,CLIENT,aws-ap-northeast-1-1,KOSS,beta=0.99,CLIENT,60,0.08026716371543957,0.0
0,0,aws,aws-ap-northeast-1,35.6804,139.769,CLIENT,aws-ap-northeast-1-1,KOSS,beta=0.99,CLIENT,300,0.08026716371543957,0.0
0,0,aws,aws-ap-northeast-1,35.6804,139.769,CLIENT,aws-ap-northeast-1-1,KOSS,beta=0.99,CLIENT,600,0.08026716371543957,0.0
0,0,aws,aws-ap-northeast-1,35.6804,139.769,CLIENT,aws-ap-northeast-1-1,KOSS,beta=0.99,CLIENT,1000,0.08026716371543957,0.0
0,0,aws,aws-ap-southeast-2,-33.8688,151.2093,CLIENT,aws-ap-southeast-2-1,KOSS,beta=0.01,CLIENT,10,0.07714515707563091,0.0
0,0,aws,aws-ap-southeast-2,-33.8688,151.2093,CLIENT,aws-ap-southeast-2-1,KOSS,beta=0.01,CLIENT,60,0.07704059145539653,0.0
0,0,aws,aws-ap-southeast-2,-33.8688,151.2093,CLIENT,aws-ap-southeast-2-1,KOSS,beta=0.01,CLIENT,300,0.07644870647586163,0.0
0,0,aws,aws-ap-southeast-2,-33.8688,151.2093,CLIENT,aws-ap-southeast-2-1,KOSS,beta=0.01,CLIENT,600,0.0757322141322141,0.0
0,0,aws,aws-ap-southeast-2,-33.8688,151.2093,CLIENT,aws-ap-southeast-2-1,KOSS,beta=0.01,CLIENT,1000,0.07429922944491904,0.0
0,0,aws,aws-ap-southeast-2,-33.8688,151.2093,CLIENT,aws-ap-southeast-2-1,KOSS,beta=0.99,CLIENT,10,0.0737611575827093,0.0
0,0,aws,aws-ap-southeast-2,-33.8688,151.2093,CLIENT,aws-ap-southeast-2-1,KOSS,beta=0.99,CLIENT,60,0.07388622952037494,0.0
0,0,aws,aws-ap-southeast-2,-33.8688,151.2093,CLIENT,aws-ap-southeast-2-1,KOSS,beta=0.99,CLIENT,300,0.07459418880086982,0.0
